"condition"
1
35
2
47
38
5
28
37
1
33
42
49
45
4
31
28
42
45
42
49
41
35
39
5
38
38
35
36
43
4
3
1
41
34
44
38
44
1
32
33
43
36
34
35
2
2
35
43
28
29
28
21
4
38
34
28
29
28
19
2
44
43
44
44
28
19
42
37
32
37
44
27
1
35
19
45
2
37
2
4
28
45
2
23
32
26
35
34
43
33
4
25
19
28
47
26
28
34
42
27
37
3
26
29
26
25
22
36
39
19
34
36
29
19
1
27
21
19
31
2
24
32
2
36
37
34
27
23
29
35
27
45
19
24
26
32
34
25
32
29
24
34
37
2
35
22
3
38
29
34
31
28
27
39
27
41
37
28
19
23
31
34
38
23
42
45
2
21
26
35
26
2
26
19
19
35
26
19
23
19
21
29
29
28
36
19
19
29
19
36
19
19
36
19
23
38
26
18
28
25
35
27
19
36
48
22
41
42
29
19
27
24
18
27
34
4
4
19
32
25
22
36
19
31
21
24
31
33
33
19
27
36
19
24
19
19
23
19
19
29
25
19
2
19
19
2
28
2
21
19
3
19
19
2
3
2
35
23
2
2
2
1
46
26
41
34
2
1
2
38
1
2
35
41
1
19
1
2
36
21
34
39
1
1
42
1
39
4
48
25
37
37
25
41
4
36
43
5
4
48
36
5
38
38
1
35
42
34
36
35
27
19
49
44
37
3
33
25
22
29
29
19
29
26
31
37
24
2
37
36
42
26
3
37
33
27
23
28
27
38
28
34
3
19
19
25
35
35
32
35
29
19
37
41
35
35
28
22
19
28
37
2
26
2
27
26
26
25
2
19
19
19
29
1
19
19
42
48
37
46
25
48
4
31
39
47
39
35
39
26
23
39
41
48
38
32
29
4
24
29
36
19
45
3
38
39
42
47
24
28
38
35
1
19
36
36
24
47
42
36
4
35
36
41
43
24
26
36
43
42
35
34
47
19
39
26
45
28
32
2
24
38
37
39
21
26
36
34
28
4
48
34
36
27
21
28
48
19
43
27
43
42
42
23
36
44
37
47
44
25
34
27
35
45
37
32
29
19
38
36
27
29
29
24
41
37
4
2
38
3
4
29
19
39
46
47
44
45
34
41
49
25
46
25
24
37
43
42
31
47
38
25
2
3
47
28
31
27
41
42
46
1
39
28
5
21
32
22
27
35
36
19
36
41
34
19
38
26
39
43
19
42
29
49
27
34
43
28
27
36
23
38
36
38
29
28
38
19
21
45
44
26
29
25
41
27
36
35
32
33
39
37
19
3
42
27
29
41
31
47
45
41
35
39
3
27
48
43
39
5
28
34
44
43
21
29
35
39
45
47
35
28
25
28
46
42
43
25
36
48
44
2
32
42
19
19
38
33
38
46
29
46
19
39
41
35
41
31
25
35
39
24
3
2
4
28
42
3
37
37
29
38
29
41
35
41
48
39
33
35
19
46
37
44
5
19
22
39
36
43
35
28
44
37
4
37
3
43
43
39
26
41
36
19
36
29
37
28
47
25
27
35
19
21
4
22
25
41
3
43
36
29
5
26
32
23
35
26
19
38
41
28
19
36
31
25
26
21
19
43
35
42
19
21
33
42
43
39
19
19
2
38
1
43
25
38
26
19
36
34
35
24
19
36
36
38
25
19
31
25
34
26
29
35
38
23
23
19
44
39
19
27
19
34
2
19
32
21
2
31
46
27
2
37
38
19
19
35
21
25
27
26
35
27
35
19
22
34
37
43
21
19
39
39
39
39
35
35
31
3
27
28
3
28
44
25
32
25
19
31
44
22
29
4
21
25
24
38
26
33
28
31
38
35
33
26
27
29
4
4
22
47
37
28
29
4
28
35
27
22
29
24
19
36
45
1
28
33
41
35
42
19
27
23
19
38
19
37
2
36
39
43
37
32
24
42
3
34
34
24
29
38
35
27
25
28
24
28
19
43
31
19
28
41
31
24
19
21
34
24
33
41
29
38
27
44
36
29
19
34
42
41
27
19
41
19
3
27
31
41
21
34
17
36
36
37
27
19
2
44
42
35
38
19
43
34
24
44
42
4
19
2
34
19
28
27
25
27
19
21
4
22
29
25
41
34
25
27
37
2
23
28
35
35
28
26
27
44
23
35
21
2
35
21
27
24
32
26
27
19
27
33
31
27
19
25
26
29
37
25
36
19
19
2
19
32
29
2
43
28
19
24
41
23
38
35
26
29
19
28
33
39
19
26
19
19
24
2
29
23
19
43
35
19
27
29
3
28
19
19
27
24
27
16
42
19
26
31
19
22
28
24
35
19
41
36
19
19
31
19
29
19
33
29
